frame_id, x, y, z
0, 1.716275, -0.093743, -0.056761
1, 10.298960, -0.562431, -0.340542
2, 10.298960, -0.562431, -0.340542
3, 18.173180, -1.011589, -0.609240
4, 27.496270, -1.538025, -0.897112
5, 36.387510, -1.993748, -1.194548
6, 46.598030, -2.661881, -1.593756
7, 55.391780, -3.248811, -1.886487
8, 64.697860, -3.912602, -2.145353
9, 64.697860, -3.912602, -2.145353
10, 72.767910, -4.580210, -2.409731
11, 79.049530, -5.133801, -2.701840
12, 83.454540, -5.105620, -2.895751
13, 88.747950, -0.450022, -3.146259
14, 89.472220, 3.536770, -3.247013
15, 89.701670, 8.800912, -3.426200
16, 89.805260, 15.773680, -3.621398
17, 90.227690, 23.034320, -3.908789
18, 90.588890, 30.340320, -4.264420
19, 90.323610, 38.189580, -4.577147
20, 89.460220, 45.284970, -4.837060
21, 89.460220, 45.284970, -4.837060
22, 90.660970, 55.133190, -5.336870
23, 90.660970, 55.133190, -5.336870
24, 94.507980, 57.684380, -5.612666
25, 98.928300, 58.696730, -5.732310
26, 104.754400, 60.134240, -5.975190
27, 111.669200, 61.874140, -6.252301
28, 119.665900, 63.691300, -6.583319
29, 127.274600, 65.459040, -6.878751
30, 135.459900, 67.539460, -7.240417
31, 142.659800, 69.187890, -7.492154
32, 142.659800, 69.187890, -7.492154
33, 150.615300, 70.634070, -7.751909
34, 157.958600, 71.430750, -7.990297
35, 166.201000, 71.855660, -8.188372
36, 174.551700, 71.922420, -8.332767
37, 182.214100, 71.538190, -8.495182
38, 190.694700, 71.075770, -8.761375
39, 190.694700, 71.075770, -8.761375
40, 198.609100, 70.545570, -8.969162
41, 205.673200, 70.127680, -9.120498
42, 211.649800, 70.019510, -9.302230
43, 211.649800, 70.019510, -9.302230
44, 218.270700, 69.972110, -9.473975
45, 224.353700, 69.981630, -9.683750
46, 231.112200, 69.886350, -9.937611
47, 231.112200, 69.886350, -9.937611
48, 236.931700, 69.664050, -10.088990
49, 241.092500, 68.414950, -10.150950
50, 243.991900, 65.260110, -10.117880
51, 243.991900, 65.260110, -10.117880
52, 244.941400, 60.961950, -9.844318
53, 244.797800, 55.981150, -9.567377
54, 244.284500, 48.868140, -9.139656
55, 244.284500, 48.868140, -9.139656
56, 243.840300, 40.316590, -8.777811
57, 243.489000, 32.472950, -8.324969
58, 243.139100, 23.880690, -7.985757
59, 242.799500, 16.502310, -7.778565
60, 242.069500, 8.787789, -7.550347
61, 241.523700, 2.325909, -7.363850
62, 241.318300, -2.559693, -7.217072
63, 241.386500, -5.423479, -7.145945
64, 241.386500, -5.423479, -7.145945
65, 241.458600, -6.421901, -7.154462
66, 241.473300, -6.435232, -7.164249
67, 241.516100, -6.742488, -7.147470
68, 241.516100, -6.742488, -7.147470
69, 241.759600, -8.540863, -7.111017
70, 242.858600, -11.014590, -7.064329
71, 245.979800, -13.318280, -7.056461
72, 250.776000, -14.142370, -7.177194
73, 250.776000, -14.142370, -7.177194
74, 257.837600, -14.399650, -7.358411
75, 266.403800, -14.681550, -7.522891
76, 276.155700, -15.035340, -7.761510
77, 286.619600, -15.436590, -8.069890
78, 296.071900, -15.885310, -8.348776
79, 305.314100, -16.389710, -8.606509
80, 315.608200, -16.883890, -8.894774
81, 326.294000, -17.395860, -9.238189
82, 336.995200, -17.959610, -9.572257
83, 346.169000, -18.453080, -9.855773
84, 355.338800, -19.038980, -10.116490
85, 362.022400, -19.337910, -10.367980
86, 367.322100, -19.649890, -10.591950
87, 367.322100, -19.649890, -10.591950
88, 374.456600, -24.370410, -10.711680
89, 375.032700, -29.121950, -10.605570
90, 375.032700, -29.121950, -10.605570
91, 374.385300, -35.494020, -10.404270
92, 373.767800, -42.294220, -10.209260
93, 373.336900, -51.153580, -9.841602
94, 373.336900, -51.153580, -9.841602
95, 372.905000, -60.308540, -9.487650
96, 372.333300, -68.405220, -9.171513
97, 371.817600, -77.243790, -8.853528
98, 371.704100, -85.015590, -8.589614
99, 371.747200, -92.376860, -8.377804
100, 371.747200, -92.376860, -8.377804
101, 371.438800, -98.269930, -8.213451
